answerId;questionId;answerContent
1;1;Tak
2;1;Nie
3;2;Tak
4;2;Nie
5;3;Tak
6;3;Nie
7;4;Tak
8;4;Nie
9;5;Nie mniejszą niż 800 metrów.
10;5;Nie mniejszą niż 500 metrów.
11;5;Nie mniejszą niż 200 metrów.
12;6;Prędkość pojazdów.
13;6;Moc silnika.
14;6;Szerokość pojazdów.
15;7;Tak
16;7;Nie
17;8;Tak
18;8;Nie
19;9;Tak
20;9;Nie
21;10;Tak
22;10;Nie
23;11;Tak
24;11;Nie
25;12;Tak
26;12;Nie
27;13;Tak
28;13;Nie
29;14;Tak
30;14;Nie
31;15;Tak
32;15;Nie
33;16;Tak
34;16;Nie
35;17;Tak
36;17;Nie
37;18;Tak
38;18;Nie
39;19;Tak
40;19;Nie
41;20;Tak
42;20;Nie
43;21;Tak
44;21;Nie
45;22;Tak
46;22;Nie
47;23;Tak
48;23;Nie
49;24;Tak
50;24;Nie
51;25;Tak
52;25;Nie
53;26;Tak
54;26;Nie
55;27;Tak
56;27;Nie
57;28;Tak
58;28;Nie
59;29;Tak
60;29;Nie
61;30;Tak
62;30;Nie
63;31;Tak
64;31;Nie
65;32;Tak
66;32;Nie
67;33;Tak
68;33;Nie
69;34;Tak
70;34;Nie
71;35;Tak
72;35;Nie
73;36;Tak
74;36;Nie
75;37;Tak
76;37;Nie
77;38;Tak
78;38;Nie
79;39;Tak
80;39;Nie
81;40;Tak
82;40;Nie
83;41;Tak
84;41;Nie
85;42;Tak
86;42;Nie
87;43;Tak
88;43;Nie
89;44;Tak
90;44;Nie
91;45;Tak
92;45;Nie
93;46;Tak
94;46;Nie
95;47;Tak
96;47;Nie
97;48;Tak
98;48;Nie
99;49;Tak
100;49;Nie
101;50;Tak
102;50;Nie
103;51;Tak
104;51;Nie
105;52;Tak
106;52;Nie
107;53;Tak
108;53;Nie
109;54;Tak
110;54;Nie
111;55;Tak
112;55;Nie
113;56;Tak
114;56;Nie
115;57;Tak
116;57;Nie
117;58;Tak
118;58;Nie
119;59;Tak
120;59;Nie
121;60;Tak
122;60;Nie
123;61;Tak
124;61;Nie
125;62;Tak
126;62;Nie
127;63;Tak
128;63;Nie
129;64;Tak
130;64;Nie
131;65;Tak
132;65;Nie
133;66;Tak
134;66;Nie
135;67;Tak
136;67;Nie
137;68;Tak
138;68;Nie
139;69;Tak
140;69;Nie
141;70;Tak
142;70;Nie
143;71;Tak
144;71;Nie
145;72;Tak
146;72;Nie
147;73;Tak
148;73;Nie
149;74;Tak
150;74;Nie
151;75;Tak
152;75;Nie
153;76;Tak
154;76;Nie
155;77;Tak
156;77;Nie
157;78;Tak
158;78;Nie
159;79;Tak
160;79;Nie
161;80;Tak
162;80;Nie
163;81;Tak
164;81;Nie
165;82;Tak
166;82;Nie
167;83;Tak
168;83;Nie
169;84;Tak
170;84;Nie
171;85;Tak
172;85;Nie
173;86;Tak
174;86;Nie
175;87;Tak
176;87;Nie
177;88;Tak
178;88;Nie
179;89;Tak
180;89;Nie
181;90;Tak
182;90;Nie
183;91;Tak
184;91;Nie
185;92;Tak
186;92;Nie
187;93;Tak
188;93;Nie
189;94;Tak
190;94;Nie
191;95;Tak
192;95;Nie
193;96;Tak
194;96;Nie
195;97;Tak
196;97;Nie
197;98;Tak
198;98;Nie
199;99;Tak
200;99;Nie
201;100;Tak
202;100;Nie
203;101;Tak
204;101;Nie
205;102;Tak
206;102;Nie
207;103;Tak
208;103;Nie
209;104;Tak
210;104;Nie
211;105;Tak
212;105;Nie
213;106;Tak
214;106;Nie
215;107;Tak
216;107;Nie
217;108;Tak
218;108;Nie
219;109;Tak
220;109;Nie
221;110;Tak
222;110;Nie
223;111;Tak
224;111;Nie
225;112;Tak
226;112;Nie
227;113;Tak
228;113;Nie
229;114;Tak
230;114;Nie
231;115;Tak
232;115;Nie
233;116;Tak
234;116;Nie
235;117;Tak
236;117;Nie
237;118;Tak
238;118;Nie
239;119;Tak
240;119;Nie
241;120;Tak
242;120;Nie
243;121;Tak
244;121;Nie
245;122;Tak
246;122;Nie
247;123;Tak
248;123;Nie
249;124;Tak
250;124;Nie
251;125;Tak
252;125;Nie
253;126;Tak
254;126;Nie
255;127;Tak
256;127;Nie
257;128;Tak
258;128;Nie
259;129;Tak
260;129;Nie
261;130;Tak
262;130;Nie
263;131;Tak
264;131;Nie
265;132;Tak
266;132;Nie
267;133;Tak
268;133;Nie
269;134;Tak
270;134;Nie
271;135;Tak
272;135;Nie
273;136;Tak
274;136;Nie
275;137;Tak
276;137;Nie
277;138;Tak
278;138;Nie
279;139;Tak
280;139;Nie
281;140;Tak
282;140;Nie
283;141;Tak
284;141;Nie
285;142;Tak
286;142;Nie
287;143;Tak
288;143;Nie
289;144;Tak
290;144;Nie
291;145;Tak
292;145;Nie
293;146;Tak
294;146;Nie
295;147;Tak
296;147;Nie
297;148;Tak
298;148;Nie
299;149;Tak
300;149;Nie
301;150;Tak
302;150;Nie
303;151;Tak
304;151;Nie
305;152;Tak
306;152;Nie
307;153;Tak
308;153;Nie
309;154;Tak
310;154;Nie
311;155;Tak
312;155;Nie
313;156;Tak
314;156;Nie
315;157;Tak
316;157;Nie
317;158;Tak
318;158;Nie
319;159;Tak
320;159;Nie
321;160;Tak
322;160;Nie
323;161;Tak
324;161;Nie
325;162;Tak
326;162;Nie
327;163;Tak
328;163;Nie
329;164;Tak
330;164;Nie
331;165;Tak
332;165;Nie
333;166;Tak
334;166;Nie
335;167;Tak
336;167;Nie
337;168;Tak
338;168;Nie
339;169;Tak
340;169;Nie
341;170;Tak
342;170;Nie
343;171;Tak
344;171;Nie
345;172;Tak
346;172;Nie
347;173;Tak
348;173;Nie
349;174;Tak
350;174;Nie
351;175;Tak
352;175;Nie
353;176;Tak
354;176;Nie
355;177;Tak
356;177;Nie
357;178;Tak
358;178;Nie
359;179;Tak
360;179;Nie
361;180;Tak
362;180;Nie
363;181;Tak
364;181;Nie
365;182;Tak
366;182;Nie
367;183;Tak
368;183;Nie
369;184;Tak
370;184;Nie
371;185;Tak
372;185;Nie
373;186;Tak
374;186;Nie
375;187;Tak
376;187;Nie
377;188;Tak
378;188;Nie
379;189;Tak
380;189;Nie
381;190;Tak
382;190;Nie
383;191;Tak
384;191;Nie
385;192;Tak
386;192;Nie
387;193;Tak
388;193;Nie
389;194;Tak
390;194;Nie
391;195;Tak
392;195;Nie
393;196;Tak
394;196;Nie
395;197;Tak
396;197;Nie
397;198;Tak
398;198;Nie
399;199;Tak
400;199;Nie
401;200;Tak
402;200;Nie
403;201;Tak
404;201;Nie
405;202;Tak
406;202;Nie
407;203;Tak
408;203;Nie
409;204;Tak
410;204;Nie
411;205;Tak
412;205;Nie
413;206;Tak
414;206;Nie
415;207;Tak
416;207;Nie
417;208;Tak
418;208;Nie
419;209;Tak
420;209;Nie
421;210;Tak
422;210;Nie
423;211;Tak
424;211;Nie
425;212;Tak
426;212;Nie
427;213;Tak
